rating,recipe_id,user_id
5,B0045XE32E,A3DOPYDOS49I3T
5,B001LGGH40,A3DOPYDOS49I3T
5,B001EQ53K6,A3DOPYDOS49I3T
5,B006Q7YFLQ,A3DOPYDOS49I3T
4,B0041NYV8E,A3DOPYDOS49I3T
5,B004CYLW7A,A3DOPYDOS49I3T
5,B002IEZJMA,A3DOPYDOS49I3T
5,B0007A0AQW,A3DOPYDOS49I3T
5,B0007A0AQW,A3DOPYDOS49I3T
5,B0007A0AQW,A3DOPYDOS49I3T
4,B001LG940E,A3DOPYDOS49I3T
5,B002LANN56,A3DOPYDOS49I3T
5,B000ILIHA6,A3DOPYDOS49I3T
4,B002ZJSWO0,A3DOPYDOS49I3T
4,B000FA3912,A3DOPYDOS49I3T
5,B0007A0AQM,A3DOPYDOS49I3T
5,B0007A0AQM,A3DOPYDOS49I3T
5,B0007A0AQM,A3DOPYDOS49I3T
5,B001Q9EFW8,A3DOPYDOS49I3T
4,B002ZJTX16,A3DOPYDOS49I3T
5,B004JGQ16I,A3DOPYDOS49I3T
4,B004E4CCSQ,A3DOPYDOS49I3T
4,B000UUWECC,A3DOPYDOS49I3T
5,B000CRIUNA,A3DOPYDOS49I3T
5,B001VJ0B0I,A3DOPYDOS49I3T
4,B002ZJSS8A,A3DOPYDOS49I3T
5,B001LGGH54,A3DOPYDOS49I3T
5,B006Q7YG56,A3DOPYDOS49I3T
5,B0051COPH6,A3DOPYDOS49I3T
5,B006Q7YG24,A3DOPYDOS49I3T
4,B005HG9ESG,A3DOPYDOS49I3T
5,B000BRR8VQ,A3DOPYDOS49I3T
5,B000BRR8VQ,A3DOPYDOS49I3T
5,B000BRR8VQ,A3DOPYDOS49I3T
4,B002QTXS5C,A3DOPYDOS49I3T
5,B005A1LINC,A3DOPYDOS49I3T
5,B000H0ZJIG,A3DOPYDOS49I3T
5,B000H0ZJIG,A3DOPYDOS49I3T
5,B000H0ZJIG,A3DOPYDOS49I3T
5,B001Q9EFVY,A3DOPYDOS49I3T
5,B001EQ4IMA,A3DOPYDOS49I3T
5,B006Q7YG2O,A3DOPYDOS49I3T
4,B005HG9ERW,A3DOPYDOS49I3T
4,B002ZJMRTQ,A3DOPYDOS49I3T
4,B005HG9ET0,A3DOPYDOS49I3T
5,B000CROPGG,A3DOPYDOS49I3T
5,B000H1217M,A3DOPYDOS49I3T
5,B000H1217M,A3DOPYDOS49I3T
5,B000H1217M,A3DOPYDOS49I3T
5,B000H0ZJHW,A3DOPYDOS49I3T
5,B000H0ZJHW,A3DOPYDOS49I3T
5,B000H0ZJHW,A3DOPYDOS49I3T
5,B003YBLF2E,A3DOPYDOS49I3T
4,B000KV61FC,A2HYHT45PHNIIG
5,B0013NUGDE,A2HYHT45PHNIIG
5,B005HGOIQ4,A2HYHT45PHNIIG
4,B0019RLJV2,A2HYHT45PHNIIG
4,B0001ES9F8,A2HYHT45PHNIIG
5,B00451SGWE,A2HYHT45PHNIIG
5,B002EDISKA,A2HYHT45PHNIIG
4,B000KV7ZGQ,A2HYHT45PHNIIG
4,B000FMZO8G,A2HYHT45PHNIIG
5,B000VK8AVK,A2HYHT45PHNIIG
4,B000H27NU6,A2HYHT45PHNIIG
5,B001RVFEP2,A2HYHT45PHNIIG
5,B0026KNQSA,A2HYHT45PHNIIG
4,B000FMZO90,A2HYHT45PHNIIG
5,B007M832YY,A2HYHT45PHNIIG
5,B004078WRW,A2HYHT45PHNIIG
